,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0.5,Event_filter_10,Event_filter_2,Event_filter_20,Event_filter_1
77,"FC = 0.98, SFT = 0.1",2016-10-30 21:00:00,2016-10-31 13:00:00,13417.50117,17,789.2647745,0.98,0.1,storm_78,0.173,0,0,0,0,0
78,"FC = 0.98, SFT = 0.1",2016-11-12 04:00:00,2016-11-13 14:00:00,81667.16298,35,2333.347514,0.98,0.1,storm_79,0.946,1,0,0,0,0
79,"FC = 0.98, SFT = 0.1",2016-11-19 21:00:00,2016-11-20 10:00:00,17776.41577,14,1269.743984,0.98,0.1,storm_80,0.165,0,0,0,0,0
80,"FC = 0.98, SFT = 0.1",2016-12-16 08:00:00,2016-12-17 18:00:00,150627.6332,35,4303.646664,0.98,0.1,storm_81,1.656,1,0,0,0,1
81,"FC = 0.98, SFT = 0.1",2016-12-24 15:00:00,2016-12-25 18:00:00,165785.913,28,5920.925466,0.98,0.1,storm_82,1.818,1,0,0,0,1
82,"FC = 0.98, SFT = 0.1",2017-01-09 19:00:00,2017-01-10 17:00:00,43538.95039,23,1892.997843,0.98,0.1,storm_83,0.351,0,0,0,0,0
83,"FC = 0.98, SFT = 0.1",2017-01-20 14:00:00,2017-01-21 10:00:00,25922.99801,21,1234.428477,0.98,0.1,storm_84,0.238,0,0,0,0,0
84,"FC = 0.98, SFT = 0.1",2017-02-24 14:00:00,2017-02-25 12:00:00,58611.31552,23,2548.318066,0.98,0.1,storm_85,0.608,1,0,0,0,0
85,"FC = 0.98, SFT = 0.1",2017-02-28 14:00:00,2017-03-01 06:00:00,8816.605998,17,518.6238822,0.98,0.1,storm_86,0.156,0,0,0,0,0
86,"FC = 0.98, SFT = 0.1",2017-03-03 16:00:00,2017-03-05 04:00:00,34982.28083,37,945.4670495,0.98,0.1,storm_87,0.308,0,0,0,0,0
87,"FC = 0.98, SFT = 0.1",2017-03-14 16:00:00,2017-03-15 14:00:00,25092.40646,23,1090.974194,0.98,0.1,storm_88,0.243,0,0,0,0,0
