id,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0.5,Event_filter_10,Event_filter_2,Event_filter_20,Event_filter_1
112,"FC = 0.98, SFT = 0.1",19/02/2018 17:00,21/02/2018 0:00,77637.60699,32,2426.175218,0.98,0.1,storm_113,5.996,1,0,1,0,1
113,"FC = 0.98, SFT = 0.1",25/02/2018 15:00,27/02/2018 17:00,221108.6382,51,4335.463495,0.98,0.1,storm_114,8.02,1,0,1,0,1
114,"FC = 0.98, SFT = 0.1",5/03/2018 22:00,7/03/2018 2:00,23036.93325,29,794.3770087,0.98,0.1,storm_115,0.527,1,0,0,0,0
115,"FC = 0.98, SFT = 0.1",21/03/2018 10:00,22/03/2018 22:00,22687.04786,37,613.1634557,0.98,0.1,storm_116,0.311,0,0,0,0,0
116,"FC = 0.98, SFT = 0.1",23/03/2018 7:00,23/03/2018 20:00,6482.482951,14,463.0344965,0.98,0.1,storm_117,0.256,0,0,0,0,0
117,"FC = 0.98, SFT = 0.1",19/04/2018 18:00,20/04/2018 9:00,11465.56601,16,716.5978757,0.98,0.1,storm_118,0.521,1,0,0,0,0
118,"FC = 0.98, SFT = 0.1",30/05/2018 2:00,30/05/2018 15:00,13679.33316,14,977.0952258,0.98,0.1,storm_119,0.829,1,0,0,0,0
119,"FC = 0.98, SFT = 0.1",4/08/2018 2:00,4/08/2018 22:00,14719.47227,21,700.927251,0.98,0.1,storm_120,0.675,1,0,0,0,0
120,"FC = 0.98, SFT = 0.1",6/08/2018 13:00,7/08/2018 4:00,15578.90773,16,973.6817332,0.98,0.1,storm_121,0.81,1,0,0,0,0
121,"FC = 0.98, SFT = 0.1",26/08/2018 17:00,27/08/2018 13:00,19488.25461,21,928.0121243,0.98,0.1,storm_122,0.83,1,0,0,0,0
122,"FC = 0.98, SFT = 0.1",31/08/2018 19:00,1/09/2018 14:00,20553.22693,20,1027.661347,0.98,0.1,storm_123,0.672,1,0,0,0,0
123,"FC = 0.98, SFT = 0.1",7/09/2018 3:00,7/09/2018 21:00,18956.28805,19,997.6993711,0.98,0.1,storm_124,0.977,1,0,0,0,0
124,"FC = 0.98, SFT = 0.1",7/09/2018 23:00,9/09/2018 10:00,43353.83474,36,1204.273187,0.98,0.1,storm_125,1.126,1,0,0,0,1
125,"FC = 0.98, SFT = 0.1",26/09/2018 14:00,27/09/2018 1:00,9385.972456,12,782.1643713,0.98,0.1,storm_126,0.573,1,0,0,0,0
126,"FC = 0.98, SFT = 0.1",4/10/2018 15:00,6/10/2018 10:00,69328.3818,44,1575.645041,0.98,0.1,storm_127,1.235,1,0,0,0,1
127,"FC = 0.98, SFT = 0.1",10/10/2018 12:00,12/10/2018 19:00,142707.3791,56,2548.346055,0.98,0.1,storm_128,6.085,1,0,1,0,1
128,"FC = 0.98, SFT = 0.1",17/10/2018 13:00,19/10/2018 20:00,49659.9124,56,886.78415,0.98,0.1,storm_129,1.364,1,0,0,0,1
129,"FC = 0.98, SFT = 0.1",2/11/2018 23:00,3/11/2018 12:00,19834.34157,14,1416.738684,0.98,0.1,storm_130,1.335,1,0,0,0,1
130,"FC = 0.98, SFT = 0.1",21/11/2018 23:00,22/11/2018 18:00,30205.00914,20,1510.250457,0.98,0.1,storm_131,1.877,1,0,0,0,1
131,"FC = 0.98, SFT = 0.1",28/11/2018 6:00,1/12/2018 13:00,814429.8713,80,10180.37339,0.98,0.1,storm_132,22.375,1,1,1,1,1
132,"FC = 0.98, SFT = 0.1",13/12/2018 21:00,17/12/2018 3:00,147258.7967,79,1864.035402,0.98,0.1,storm_133,3.881,1,0,1,0,1
133,"FC = 0.98, SFT = 0.1",19/12/2018 17:00,24/12/2018 1:00,753958.5233,105,7180.557365,0.98,0.1,storm_134,37.597,1,1,1,1,1
134,"FC = 0.98, SFT = 0.1",6/01/2019 0:00,6/01/2019 11:00,14780.11847,12,1231.676539,0.98,0.1,storm_135,1.019,1,0,0,0,1
135,"FC = 0.98, SFT = 0.1",11/01/2019 15:00,12/01/2019 20:00,91196.00655,30,3039.866885,0.98,0.1,storm_136,6.476,1,0,1,0,1
136,"FC = 0.98, SFT = 0.1",21/01/2019 5:00,22/01/2019 0:00,31844.332,20,1592.2166,0.98,0.1,storm_137,1.891,1,0,0,0,1
137,"FC = 0.98, SFT = 0.1",23/01/2019 13:00,24/01/2019 18:00,224721.5716,30,7490.719054,0.98,0.1,storm_138,24.583,1,1,1,1,1
138,"FC = 0.98, SFT = 0.1",16/03/2019 13:00,18/03/2019 13:00,92708.11424,49,1892.002331,0.98,0.1,storm_139,3.418,1,0,1,0,1
139,"FC = 0.98, SFT = 0.1",18/03/2019 16:00,19/03/2019 17:00,30846.343,26,1186.397808,0.98,0.1,storm_140,1.33,1,0,0,0,1
140,"FC = 0.98, SFT = 0.1",22/03/2019 17:00,23/03/2019 13:00,32466.45691,21,1546.021758,0.98,0.1,storm_141,2.023,1,0,1,0,1
141,"FC = 0.98, SFT = 0.1",29/03/2019 22:00,31/03/2019 11:00,76150.03105,38,2003.948185,0.98,0.1,storm_142,2.931,1,0,1,0,1
142,"FC = 0.98, SFT = 0.1",21/04/2019 18:00,22/04/2019 7:00,19139.7825,14,1367.127322,0.98,0.1,storm_143,1.354,1,0,0,0,1
143,"FC = 0.98, SFT = 0.1",3/05/2019 15:00,4/05/2019 20:00,47962.55613,30,1598.751871,0.98,0.1,storm_144,1.221,1,0,0,0,1
144,"FC = 0.98, SFT = 0.1",4/06/2019 12:00,5/06/2019 4:00,20143.73842,17,1184.92579,0.98,0.1,storm_145,0.865,1,0,0,0,0
145,"FC = 0.98, SFT = 0.1",24/06/2019 9:00,24/06/2019 20:00,7849.201053,12,654.1000877,0.98,0.1,storm_146,0.348,0,0,0,0,0
146,"FC = 0.98, SFT = 0.1",25/06/2019 7:00,25/06/2019 18:00,7272.306128,12,606.0255107,0.98,0.1,storm_147,0.338,0,0,0,0,0
147,"FC = 0.98, SFT = 0.1",4/07/2019 21:00,5/07/2019 22:00,17091.95622,26,657.3829316,0.98,0.1,storm_148,0.316,0,0,0,0,0
148,"FC = 0.98, SFT = 0.1",11/08/2019 16:00,12/08/2019 3:00,10442.57142,12,870.2142852,0.98,0.1,storm_149,0.576,1,0,0,0,0
149,"FC = 0.98, SFT = 0.1",29/08/2019 22:00,30/08/2019 16:00,22560.56277,19,1187.39804,0.98,0.1,storm_150,0.805,1,0,0,0,0
150,"FC = 0.98, SFT = 0.1",17/09/2019 8:00,19/09/2019 18:00,137034.7985,59,2322.623703,0.98,0.1,storm_151,2.461,1,0,1,0,1
151,"FC = 0.98, SFT = 0.1",4/11/2019 0:00,4/11/2019 12:00,13056.82916,13,1004.371474,0.98,0.1,storm_152,0.879,1,0,0,0,0
152,"FC = 0.98, SFT = 0.1",19/01/2020 15:00,20/01/2020 11:00,34255.50696,21,1631.214617,0.98,0.1,storm_153,1.984,1,0,0,0,1
153,"FC = 0.98, SFT = 0.1",27/01/2020 17:00,28/01/2020 6:00,18881.38542,14,1348.670387,0.98,0.1,storm_154,1.568,1,0,0,0,1
154,"FC = 0.98, SFT = 0.1",6/02/2020 21:00,12/02/2020 13:00,2156300.863,137,15739.42236,0.98,0.1,storm_155,54.511,1,1,1,1,1
155,"FC = 0.98, SFT = 0.1",12/02/2020 20:00,15/02/2020 5:00,111177.6348,58,1916.855773,0.98,0.1,storm_156,4.578,1,0,1,0,1
156,"FC = 0.98, SFT = 0.1",15/02/2020 23:00,16/02/2020 20:00,40310.81878,22,1832.309944,0.98,0.1,storm_157,2.316,1,0,1,0,1
157,"FC = 0.98, SFT = 0.1",17/02/2020 9:00,21/02/2020 22:00,810743.1692,110,7370.392447,0.98,0.1,storm_158,22.154,1,1,1,1,1
158,"FC = 0.98, SFT = 0.1",26/02/2020 14:00,27/02/2020 9:00,40220.02386,20,2011.001193,0.98,0.1,storm_159,3.654,1,0,1,0,1
159,"FC = 0.98, SFT = 0.1",3/03/2020 21:00,12/03/2020 1:00,349345.8451,197,1773.329163,0.98,0.1,storm_160,3.391,1,0,1,0,1
160,"FC = 0.98, SFT = 0.1",14/03/2020 16:00,16/03/2020 1:00,49748.56518,34,1463.193093,0.98,0.1,storm_161,2.434,1,0,1,0,1
161,"FC = 0.98, SFT = 0.1",16/03/2020 4:00,18/03/2020 22:00,80507.29215,67,1201.601375,0.98,0.1,storm_162,1.989,1,0,0,0,1
162,"FC = 0.98, SFT = 0.1",25/03/2020 12:00,28/03/2020 13:00,239231.8323,74,3232.862599,0.98,0.1,storm_163,6.225,1,0,1,0,1
163,"FC = 0.98, SFT = 0.1",30/03/2020 8:00,31/03/2020 2:00,17283.53098,19,909.6595252,0.98,0.1,storm_164,1.106,1,0,0,0,1
164,"FC = 0.98, SFT = 0.1",2/04/2020 17:00,8/04/2020 13:00,407198.927,141,2887.935653,0.98,0.1,storm_165,6.545,1,0,1,0,1
165,"FC = 0.98, SFT = 0.1",10/04/2020 11:00,12/04/2020 8:00,35681.22569,46,775.6788193,0.98,0.1,storm_166,1.366,1,0,0,0,1
166,"FC = 0.98, SFT = 0.1",29/04/2020 20:00,3/05/2020 6:00,192776.5457,83,2322.608984,0.98,0.1,storm_167,2.823,1,0,1,0,1
167,"FC = 0.98, SFT = 0.1",21/05/2020 3:00,22/05/2020 20:00,39815.71291,42,947.9931644,0.98,0.1,storm_168,0.807,1,0,0,0,0
168,"FC = 0.98, SFT = 0.1",14/06/2020 7:00,15/06/2020 0:00,23641.6714,18,1313.426189,0.98,0.1,storm_169,1.399,1,0,0,0,1
169,"FC = 0.98, SFT = 0.1",21/06/2020 6:00,22/06/2020 10:00,39130.13786,29,1349.315099,0.98,0.1,storm_170,1.587,1,0,0,0,1
170,"FC = 0.98, SFT = 0.1",11/07/2020 10:00,12/07/2020 0:00,8937.404824,15,595.8269883,0.98,0.1,storm_171,0.445,0,0,0,0,0
171,"FC = 0.98, SFT = 0.1",26/07/2020 13:00,3/08/2020 9:00,1102626.973,189,5834.005148,0.98,0.1,storm_172,8.983,1,0,1,0,1
172,"FC = 0.98, SFT = 0.1",7/08/2020 14:00,12/08/2020 22:00,752624.4077,129,5834.297734,0.98,0.1,storm_173,8.062,1,0,1,0,1
173,"FC = 0.98, SFT = 0.1",13/08/2020 2:00,14/08/2020 7:00,84080.37679,30,2802.679226,0.98,0.1,storm_174,4.088,1,0,1,0,1
174,"FC = 0.98, SFT = 0.1",14/08/2020 18:00,19/08/2020 4:00,244352.3786,107,2283.66709,0.98,0.1,storm_175,4.423,1,0,1,0,1
175,"FC = 0.98, SFT = 0.1",19/08/2020 19:00,21/08/2020 0:00,36178.52362,30,1205.950787,0.98,0.1,storm_176,1.886,1,0,0,0,1
176,"FC = 0.98, SFT = 0.1",22/08/2020 2:00,27/08/2020 6:00,112919.9842,125,903.359874,0.98,0.1,storm_177,1.492,1,0,0,0,1
177,"FC = 0.98, SFT = 0.1",27/08/2020 12:00,28/08/2020 3:00,6624.955446,16,414.0597154,0.98,0.1,storm_178,0.667,1,0,0,0,0
178,"FC = 0.98, SFT = 0.1",9/09/2020 11:00,10/09/2020 23:00,55251.46169,37,1493.282748,0.98,0.1,storm_179,1.585,1,0,0,0,1
